colorName,lightTheme,darkTheme
alertError,#ED4F6,#ED4F63
alertSuccess,#21BA4,#21BA45
alertWarning,#F2C03,#F2C037
backgroundBorder,#2A2D60,#FFD7BD 
backgroundCards,#1F214,#FFFFFF 
backgroundDisabledOdds,#2A2D60,#FFF0E6 
backgroundDrop,#03061B,#FFF0E6 
backgroundGradientDark,#19202,#FFF0E6
backgroundGradientLight,#03061,#FFF0E6
backgroundOdds,#434799,#FFD1B3 
backgroundPrimary,#03061,#FFFFFF 
backgroundSecondary,#16173,#FFF0E6 
backgroundTertiary,#16173,#FFE3D1 
borderDrop,#2A2D60,#FFD7BD  
bubblesPrimary,#ED4F6,#ED4F63
buttonActiveHoverPrimary,#FF7E2,#FF7E29
buttonActiveHoverSecondary,#43479,#FFD7BD
buttonActiveHoverTertiary,#2A2D6,#FFF0E6
buttonBackgroundPrimary,#FF660,#FF6600
buttonBackgroundSecondary,#2A2D6,#FFF0E6
buttonBorderTertiary,#2A2D6,#FFF0E6
buttonDisablePrimary,#5C250,#FFD7BD
buttonTextDisablePrimary,#943B0,#FFF0E6
buttonTextPrimary,#FFFFFF,#FFFFFF 
buttonTextSecondary,#FFFFFF,#000114 
highlightPrimary,#FF6600,#FF6600  
highlightPrimaryContrast,#FFFFFF,#000114 
highlightSecondary,#404CFF,#404CFF 
iconPrimary,#FFFFFF,#000114 
iconSecondary,#5559B4,#393C84 
inputBackground,#1F2147,#FFF0E6 
inputBackgroundDisable,#161732,#FFE3D1 
inputBackgroundSecondary,#03061B,#FFFFFF 
inputBorderActive,#FFFFFF,#FFD7BD 
inputBorderDisabled,#161732,#FFE3D1 
inputError,#ED4F63,#ED4F63  
inputError,#ED4F63,#000114 
inputText,#FFFFFF,#FFD7BD 
inputTextDisable,#393D83,#FFC49E 
inputTextTitle,#6A6EBE,#FFD7BD 
inputTextTitleDisable,#393D83,#60111B
myTicketsLost,#60111,#50424B 
myTicketsLostFaded,#50424B,#946F00
myTicketsOther,#946F0,#946F00
myTicketsWon,#0F5531,#0F5531 
myTicketsWonFaded,#5B6D6D,#5B6D6D 
navBanner,#2A2D60,#FF9C5C 
navBannerActive,#ADAFDB,#FFF0E6 
scroll,#393D8,#FFD7BD
separatorLine,#2A2D60,#FFD7BD 
separatorLineHighlightPrimary,#7A83FF,#7A83FF 
separatorLineHighlightSecondary,#FF9D5C,#FF9D5C 
separatorLineSecondary,#393D83,#FFC49E 
shadow,#03061B,#FFF0E6  
shadowDarker,#03061,#FFE3D1
shadowMedium,#161732,#FFFFFF  
statsAway,#46C1A,#46C1A7
statsHome,#D99F0,#D99F00
textDisablePrimary,#43479,#FFD7BD
textHeadlinePrimary,#FFFFF,#000114
textPrimary,#FFFFFF,#000114 
textSecondary,#6A6EB,#393C84
